protein1 protein2 experimental database textmining combined_score
1028307.EAE_00410 1028307.EAE_01895 0 650 0 650
1028307.EAE_00410 1028307.EAE_00420 0 0 454 454
1028307.EAE_00415 1028307.EAE_01895 0 650 0 650
1028307.EAE_00415 1028307.EAE_01900 0 650 0 650
1028307.EAE_00415 1028307.EAE_14320 272 0 0 272
1028307.EAE_00415 1028307.EAE_00410 0 0 681 681
1028307.EAE_00415 1028307.EAE_17195 272 0 0 272
1028307.EAE_00415 1028307.EAE_06495 0 0 461 461
1028307.EAE_00415 1028307.EAE_13170 272 0 0 272
1028307.EAE_00420 1028307.EAE_19515 197 0 0 197
1028307.EAE_00420 1028307.EAE_06495 92 0 471 499
